"","qweek","vac_1","age","gender","country","Age_groups","agegroup_fct","Vaccine_fct"
"52","week 24","5",53,"Male","Australia",4,"45-54","Strongly disagree"
"53","week 24","2",58,"Male","Australia",5,"55-64","Somewhat agree"
"54","week 24","5",69,"Male","Australia",6,"65+","Strongly disagree"
"55","week 24","4",36,"Female","Australia",3,"35-44","Somewhat disagree"
"56","week 24","1",75,"Male","Australia",6,"65+","Strongly agree"
"57","week 24","1",67,"Male","Australia",6,"65+","Strongly agree"
"58","week 24","3",62,"Male","Australia",5,"55-64","Neutral/no opinion"
"59","week 24","5",70,"Female","Australia",6,"65+","Strongly disagree"
"60","week 24","3",69,"Male","Australia",6,"65+","Neutral/no opinion"
"61","week 24","5",57,"Female","Australia",5,"55-64","Strongly disagree"
"62","week 24","1",81,"Male","Australia",6,"65+","Strongly agree"
"63","week 24","1",66,"Female","Australia",6,"65+","Strongly agree"
"64","week 24","1",65,"Female","Australia",6,"65+","Strongly agree"
"65","week 24","1",53,"Female","Australia",4,"45-54","Strongly agree"
"66","week 24","5",54,"Female","Australia",4,"45-54","Strongly disagree"
"67","week 24","3",64,"Male","Australia",5,"55-64","Neutral/no opinion"
"68","week 24","3",60,"Male","Australia",5,"55-64","Neutral/no opinion"
"69","week 24","3",63,"Male","Australia",5,"55-64","Neutral/no opinion"
"70","week 24","1",63,"Female","Australia",5,"55-64","Strongly agree"
"71","week 24","1",64,"Male","Australia",5,"55-64","Strongly agree"
"72","week 24","2",46,"Female","Australia",4,"45-54","Somewhat agree"
"73","week 24","1",80,"Female","Australia",6,"65+","Strongly agree"
"74","week 24","3",49,"Female","Australia",4,"45-54","Neutral/no opinion"
"75","week 24","1",55,"Male","Australia",5,"55-64","Strongly agree"
"76","week 24","3",52,"Female","Australia",4,"45-54","Neutral/no opinion"
"77","week 24","1",76,"Female","Australia",6,"65+","Strongly agree"
"78","week 24","3",58,"Female","Australia",5,"55-64","Neutral/no opinion"
"79","week 24","3",75,"Female","Australia",6,"65+","Neutral/no opinion"
"80","week 24","1",67,"Female","Australia",6,"65+","Strongly agree"
"81","week 24","4",43,"Female","Australia",3,"35-44","Somewhat disagree"
"82","week 24","3",58,"Male","Australia",5,"55-64","Neutral/no opinion"
"83","week 24","3",55,"Female","Australia",5,"55-64","Neutral/no opinion"
"84","week 24","3",39,"Male","Australia",3,"35-44","Neutral/no opinion"
"85","week 24","1",43,"Female","Australia",3,"35-44","Strongly agree"
"86","week 24","5",36,"Female","Australia",3,"35-44","Strongly disagree"
"87","week 24","2",70,"Female","Australia",6,"65+","Somewhat agree"
"88","week 24","4",40,"Female","Australia",3,"35-44","Somewhat disagree"
"89","week 24","1",38,"Female","Australia",3,"35-44","Strongly agree"
"90","week 24","5",49,"Female","Australia",4,"45-54","Strongly disagree"
"91","week 24","1",77,"Male","Australia",6,"65+","Strongly agree"
"92","week 24","2",60,"Male","Australia",5,"55-64","Somewhat agree"
"93","week 24","3",72,"Male","Australia",6,"65+","Neutral/no opinion"
"94","week 24","3",44,"Female","Australia",3,"35-44","Neutral/no opinion"
"95","week 24","3",78,"Male","Australia",6,"65+","Neutral/no opinion"
"96","week 24","1",72,"Female","Australia",6,"65+","Strongly agree"
"97","week 24","5",64,"Female","Australia",5,"55-64","Strongly disagree"
"98","week 24","5",70,"Male","Australia",6,"65+","Strongly disagree"
"99","week 24","1",65,"Male","Australia",6,"65+","Strongly agree"
"100","week 24","4",41,"Female","Australia",3,"35-44","Somewhat disagree"
"101","week 24","2",69,"Male","Australia",6,"65+","Somewhat agree"
"102","week 24","5",50,"Female","Australia",4,"45-54","Strongly disagree"
"103","week 24","5",44,"Female","Australia",3,"35-44","Strongly disagree"
"104","week 24","1",52,"Female","Australia",4,"45-54","Strongly agree"
"105","week 24","1",41,"Male","Australia",3,"35-44","Strongly agree"
"106","week 24","2",41,"Male","Australia",3,"35-44","Somewhat agree"
"107","week 24","3",49,"Male","Australia",4,"45-54","Neutral/no opinion"
"108","week 24","5",36,"Male","Australia",3,"35-44","Strongly disagree"
"109","week 24","4",37,"Female","Australia",3,"35-44","Somewhat disagree"
"110","week 24","5",42,"Male","Australia",3,"35-44","Strongly disagree"
"111","week 24","3",67,"Male","Australia",6,"65+","Neutral/no opinion"
"112","week 24","1",28,"Female","Australia",2,"25-34","Strongly agree"
"113","week 24","5",61,"Female","Australia",5,"55-64","Strongly disagree"
"114","week 24","1",72,"Female","Australia",6,"65+","Strongly agree"
"115","week 24","3",55,"Male","Australia",5,"55-64","Neutral/no opinion"
"116","week 24","2",43,"Male","Australia",3,"35-44","Somewhat agree"
"117","week 24","1",38,"Male","Australia",3,"35-44","Strongly agree"
"118","week 24","5",60,"Female","Australia",5,"55-64","Strongly disagree"
"119","week 24","3",77,"Female","Australia",6,"65+","Neutral/no opinion"
"120","week 24","2",48,"Female","Australia",4,"45-54","Somewhat agree"
"121","week 24","3",48,"Male","Australia",4,"45-54","Neutral/no opinion"
"122","week 24","5",49,"Male","Australia",4,"45-54","Strongly disagree"
"123","week 24","3",42,"Male","Australia",3,"35-44","Neutral/no opinion"
"124","week 24","1",36,"Male","Australia",3,"35-44","Strongly agree"
"125","week 24","4",47,"Male","Australia",4,"45-54","Somewhat disagree"
"126","week 24","3",42,"Male","Australia",3,"35-44","Neutral/no opinion"
"127","week 24","1",39,"Female","Australia",3,"35-44","Strongly agree"
"128","week 24","4",43,"Female","Australia",3,"35-44","Somewhat disagree"
"129","week 24","3",43,"Female","Australia",3,"35-44","Neutral/no opinion"
"130","week 24","3",38,"Male","Australia",3,"35-44","Neutral/no opinion"
"131","week 24","4",36,"Male","Australia",3,"35-44","Somewhat disagree"
"132","week 24","4",46,"Female","Australia",4,"45-54","Somewhat disagree"
"133","week 24","2",49,"Female","Australia",4,"45-54","Somewhat agree"
"134","week 24","4",36,"Female","Australia",3,"35-44","Somewhat disagree"
"135","week 24","5",41,"Male","Australia",3,"35-44","Strongly disagree"
"136","week 24","1",49,"Male","Australia",4,"45-54","Strongly agree"
"137","week 24","3",35,"Female","Australia",3,"35-44","Neutral/no opinion"
"138","week 24","1",50,"Male","Australia",4,"45-54","Strongly agree"
"139","week 24","4",38,"Female","Australia",3,"35-44","Somewhat disagree"
"140","week 24","3",59,"Male","Australia",5,"55-64","Neutral/no opinion"
"141","week 24","3",31,"Female","Australia",2,"25-34","Neutral/no opinion"
"142","week 24","1",73,"Male","Australia",6,"65+","Strongly agree"
"143","week 24","2",40,"Male","Australia",3,"35-44","Somewhat agree"
"144","week 24","3",22,"Male","Australia",1,"18-24","Neutral/no opinion"
"145","week 24","1",29,"Female","Australia",2,"25-34","Strongly agree"
"146","week 24","2",30,"Female","Australia",2,"25-34","Somewhat agree"
"147","week 24","4",57,"Male","Australia",5,"55-64","Somewhat disagree"
"148","week 24","5",18,"Female","Australia",1,"18-24","Strongly disagree"
"149","week 24","3",24,"Female","Australia",1,"18-24","Neutral/no opinion"
"150","week 24","4",36,"Female","Australia",3,"35-44","Somewhat disagree"
"151","week 24","1",22,"Female","Australia",1,"18-24","Strongly agree"
"152","week 24","3",53,"Female","Australia",4,"45-54","Neutral/no opinion"
"153","week 24","4",31,"Female","Australia",2,"25-34","Somewhat disagree"
"154","week 24","1",29,"Female","Australia",2,"25-34","Strongly agree"
"155","week 24","3",57,"Female","Australia",5,"55-64","Neutral/no opinion"
"156","week 24","1",40,"Female","Australia",3,"35-44","Strongly agree"
"157","week 24","4",29,"Female","Australia",2,"25-34","Somewhat disagree"
"158","week 24","3",55,"Female","Australia",5,"55-64","Neutral/no opinion"
"159","week 24","1",56,"Female","Australia",5,"55-64","Strongly agree"
"160","week 24","4",35,"Female","Australia",3,"35-44","Somewhat disagree"
"161","week 24","1",51,"Female","Australia",4,"45-54","Strongly agree"
"162","week 24","3",60,"Male","Australia",5,"55-64","Neutral/no opinion"
"163","week 24","3",57,"Male","Australia",5,"55-64","Neutral/no opinion"
"164","week 24","3",51,"Male","Australia",4,"45-54","Neutral/no opinion"
"165","week 24","5",46,"Female","Australia",4,"45-54","Strongly disagree"
"166","week 24","2",52,"Male","Australia",4,"45-54","Somewhat agree"
"167","week 24","1",63,"Female","Australia",5,"55-64","Strongly agree"
"168","week 24","4",33,"Female","Australia",2,"25-34","Somewhat disagree"
"169","week 24","2",41,"Female","Australia",3,"35-44","Somewhat agree"
"170","week 24","4",60,"Female","Australia",5,"55-64","Somewhat disagree"
"171","week 24","2",64,"Male","Australia",5,"55-64","Somewhat agree"
"172","week 24","2",28,"Female","Australia",2,"25-34","Somewhat agree"
"173","week 24","5",20,"Female","Australia",1,"18-24","Strongly disagree"
"174","week 24","2",64,"Female","Australia",5,"55-64","Somewhat agree"
"175","week 24","1",55,"Male","Australia",5,"55-64","Strongly agree"
"176","week 24","1",40,"Male","Australia",3,"35-44","Strongly agree"
"177","week 24","1",64,"Male","Australia",5,"55-64","Strongly agree"
"178","week 24","4",32,"Female","Australia",2,"25-34","Somewhat disagree"
"179","week 24","1",28,"Male","Australia",2,"25-34","Strongly agree"
"180","week 24","1",34,"Male","Australia",2,"25-34","Strongly agree"
"181","week 24","1",54,"Female","Australia",4,"45-54","Strongly agree"
"182","week 24","5",34,"Female","Australia",2,"25-34","Strongly disagree"
"183","week 24","3",39,"Female","Australia",3,"35-44","Neutral/no opinion"
"184","week 24","1",48,"Female","Australia",4,"45-54","Strongly agree"
"185","week 24","1",63,"Male","Australia",5,"55-64","Strongly agree"
"186","week 24","1",73,"Female","Australia",6,"65+","Strongly agree"
"187","week 24","3",34,"Female","Australia",2,"25-34","Neutral/no opinion"
"188","week 24","1",26,"Female","Australia",2,"25-34","Strongly agree"
"189","week 24","2",71,"Female","Australia",6,"65+","Somewhat agree"
"190","week 24","2",31,"Male","Australia",2,"25-34","Somewhat agree"
"191","week 24","1",46,"Female","Australia",4,"45-54","Strongly agree"
"192","week 24","2",64,"Female","Australia",5,"55-64","Somewhat agree"
"193","week 24","2",29,"Female","Australia",2,"25-34","Somewhat agree"
"194","week 24","1",19,"Female","Australia",1,"18-24","Strongly agree"
"195","week 24","1",28,"Female","Australia",2,"25-34","Strongly agree"
"196","week 24","1",57,"Female","Australia",5,"55-64","Strongly agree"
"197","week 24","3",61,"Female","Australia",5,"55-64","Neutral/no opinion"
"198","week 24","3",59,"Male","Australia",5,"55-64","Neutral/no opinion"
"199","week 24","1",28,"Female","Australia",2,"25-34","Strongly agree"
"200","week 24","2",31,"Male","Australia",2,"25-34","Somewhat agree"
"201","week 24","3",38,"Male","Australia",3,"35-44","Neutral/no opinion"
"202","week 24","2",25,"Female","Australia",2,"25-34","Somewhat agree"
"203","week 24","4",22,"Female","Australia",1,"18-24","Somewhat disagree"
"204","week 24","1",26,"Female","Australia",2,"25-34","Strongly agree"
"205","week 24","2",33,"Male","Australia",2,"25-34","Somewhat agree"
"206","week 24","2",19,"Female","Australia",1,"18-24","Somewhat agree"
"207","week 24","1",72,"Male","Australia",6,"65+","Strongly agree"
"208","week 24","3",54,"Male","Australia",4,"45-54","Neutral/no opinion"
"209","week 24","1",68,"Female","Australia",6,"65+","Strongly agree"
"210","week 24","5",64,"Male","Australia",5,"55-64","Strongly disagree"
"211","week 24","3",43,"Male","Australia",3,"35-44","Neutral/no opinion"
"212","week 24","1",75,"Male","Australia",6,"65+","Strongly agree"
"213","week 24","1",85,"Male","Australia",6,"65+","Strongly agree"
"214","week 24","4",40,"Male","Australia",3,"35-44","Somewhat disagree"
"215","week 24","1",70,"Male","Australia",6,"65+","Strongly agree"
"216","week 24","2",66,"Female","Australia",6,"65+","Somewhat agree"
"217","week 24","4",61,"Female","Australia",5,"55-64","Somewhat disagree"
"218","week 24","5",54,"Female","Australia",4,"45-54","Strongly disagree"
"219","week 24","4",34,"Female","Australia",2,"25-34","Somewhat disagree"
"220","week 24","2",68,"Female","Australia",6,"65+","Somewhat agree"
"221","week 24","4",21,"Female","Australia",1,"18-24","Somewhat disagree"
"222","week 24","1",65,"Male","Australia",6,"65+","Strongly agree"
"223","week 24","1",71,"Female","Australia",6,"65+","Strongly agree"
"224","week 24","1",62,"Male","Australia",5,"55-64","Strongly agree"
"225","week 24","1",47,"Female","Australia",4,"45-54","Strongly agree"
"226","week 24","2",58,"Female","Australia",5,"55-64","Somewhat agree"
"227","week 24","5",67,"Female","Australia",6,"65+","Strongly disagree"
"228","week 24","1",64,"Male","Australia",5,"55-64","Strongly agree"
"229","week 24","1",54,"Male","Australia",4,"45-54","Strongly agree"
"230","week 24","4",35,"Female","Australia",3,"35-44","Somewhat disagree"
"231","week 24","1",60,"Male","Australia",5,"55-64","Strongly agree"
"232","week 24","1",32,"Female","Australia",2,"25-34","Strongly agree"
"233","week 24","1",58,"Male","Australia",5,"55-64","Strongly agree"
"234","week 24","5",34,"Female","Australia",2,"25-34","Strongly disagree"
"235","week 24","3",59,"Male","Australia",5,"55-64","Neutral/no opinion"
"236","week 24","2",57,"Male","Australia",5,"55-64","Somewhat agree"
"237","week 24","1",37,"Female","Australia",3,"35-44","Strongly agree"
"238","week 24","3",32,"Female","Australia",2,"25-34","Neutral/no opinion"
"239","week 24","1",53,"Male","Australia",4,"45-54","Strongly agree"
"240","week 24","5",30,"Female","Australia",2,"25-34","Strongly disagree"
"241","week 24","3",30,"Female","Australia",2,"25-34","Neutral/no opinion"
"242","week 24","3",64,"Female","Australia",5,"55-64","Neutral/no opinion"
"243","week 24","1",63,"Female","Australia",5,"55-64","Strongly agree"
"244","week 24","2",59,"Female","Australia",5,"55-64","Somewhat agree"
"245","week 24","2",61,"Male","Australia",5,"55-64","Somewhat agree"
"246","week 24","2",28,"Female","Australia",2,"25-34","Somewhat agree"
"247","week 24","3",64,"Male","Australia",5,"55-64","Neutral/no opinion"
"248","week 24","3",41,"Male","Australia",3,"35-44","Neutral/no opinion"
"249","week 24","5",62,"Male","Australia",5,"55-64","Strongly disagree"
"250","week 24","2",31,"Female","Australia",2,"25-34","Somewhat agree"
"251","week 24","3",26,"Female","Australia",2,"25-34","Neutral/no opinion"
"252","week 24","1",22,"Male","Australia",1,"18-24","Strongly agree"
"253","week 24","4",25,"Female","Australia",2,"25-34","Somewhat disagree"
"254","week 24","3",33,"Female","Australia",2,"25-34","Neutral/no opinion"
"255","week 24","4",36,"Female","Australia",3,"35-44","Somewhat disagree"
"256","week 24","3",44,"Female","Australia",3,"35-44","Neutral/no opinion"
"257","week 24","5",56,"Male","Australia",5,"55-64","Strongly disagree"
"258","week 24","1",64,"Female","Australia",5,"55-64","Strongly agree"
"259","week 24","2",33,"Male","Australia",2,"25-34","Somewhat agree"
"260","week 24","5",37,"Female","Australia",3,"35-44","Strongly disagree"
"261","week 24","2",38,"Male","Australia",3,"35-44","Somewhat agree"
"262","week 24","5",76,"Female","Australia",6,"65+","Strongly disagree"
"263","week 24","4",51,"Female","Australia",4,"45-54","Somewhat disagree"
"264","week 24","5",37,"Female","Australia",3,"35-44","Strongly disagree"
"265","week 24","1",32,"Male","Australia",2,"25-34","Strongly agree"
"266","week 24","1",42,"Female","Australia",3,"35-44","Strongly agree"
"267","week 24","1",85,"Male","Australia",6,"65+","Strongly agree"
"268","week 24","4",56,"Male","Australia",5,"55-64","Somewhat disagree"
"269","week 24","1",62,"Male","Australia",5,"55-64","Strongly agree"
"270","week 24","1",59,"Female","Australia",5,"55-64","Strongly agree"
"271","week 24","3",51,"Female","Australia",4,"45-54","Neutral/no opinion"
"272","week 24","3",61,"Female","Australia",5,"55-64","Neutral/no opinion"
"273","week 24","1",60,"Male","Australia",5,"55-64","Strongly agree"
"274","week 24","1",64,"Male","Australia",5,"55-64","Strongly agree"
"275","week 24","5",29,"Female","Australia",2,"25-34","Strongly disagree"
"276","week 24","2",50,"Female","Australia",4,"45-54","Somewhat agree"
"277","week 24","2",31,"Male","Australia",2,"25-34","Somewhat agree"
"278","week 24","2",46,"Male","Australia",4,"45-54","Somewhat agree"
"279","week 24","5",34,"Female","Australia",2,"25-34","Strongly disagree"
"280","week 24","1",73,"Female","Australia",6,"65+","Strongly agree"
"281","week 24","3",32,"Female","Australia",2,"25-34","Neutral/no opinion"
"282","week 24","2",52,"Male","Australia",4,"45-54","Somewhat agree"
"283","week 24","5",72,"Female","Australia",6,"65+","Strongly disagree"
"284","week 24","1",20,"Female","Australia",1,"18-24","Strongly agree"
"285","week 24","5",42,"Male","Australia",3,"35-44","Strongly disagree"
"286","week 24","1",31,"Female","Australia",2,"25-34","Strongly agree"
"287","week 24","3",31,"Male","Australia",2,"25-34","Neutral/no opinion"
"288","week 24","2",34,"Female","Australia",2,"25-34","Somewhat agree"
"289","week 24","1",35,"Female","Australia",3,"35-44","Strongly agree"
"290","week 24","1",30,"Female","Australia",2,"25-34","Strongly agree"
"291","week 24","5",45,"Male","Australia",4,"45-54","Strongly disagree"
"292","week 24","2",32,"Male","Australia",2,"25-34","Somewhat agree"
"293","week 24","2",35,"Female","Australia",3,"35-44","Somewhat agree"
"294","week 24","5",49,"Female","Australia",4,"45-54","Strongly disagree"
"295","week 24","5",66,"Male","Australia",6,"65+","Strongly disagree"
"296","week 24","1",38,"Female","Australia",3,"35-44","Strongly agree"
"297","week 24","5",27,"Female","Australia",2,"25-34","Strongly disagree"
"298","week 24","2",68,"Male","Australia",6,"65+","Somewhat agree"
"299","week 24","4",33,"Female","Australia",2,"25-34","Somewhat disagree"
"300","week 24","1",62,"Female","Australia",5,"55-64","Strongly agree"
"301","week 24","1",68,"Female","Australia",6,"65+","Strongly agree"
"302","week 24","1",75,"Male","Australia",6,"65+","Strongly agree"
"303","week 24","3",58,"Female","Australia",5,"55-64","Neutral/no opinion"
"304","week 24","5",62,"Female","Australia",5,"55-64","Strongly disagree"
"305","week 24","5",24,"Female","Australia",1,"18-24","Strongly disagree"
"306","week 24","1",58,"Female","Australia",5,"55-64","Strongly agree"
"307","week 24","1",65,"Female","Australia",6,"65+","Strongly agree"
"308","week 24","3",19,"Male","Australia",1,"18-24","Neutral/no opinion"
"309","week 24","3",34,"Female","Australia",2,"25-34","Neutral/no opinion"
"310","week 24","3",25,"Female","Australia",2,"25-34","Neutral/no opinion"
"311","week 24","1",66,"Male","Australia",6,"65+","Strongly agree"
"312","week 24","1",76,"Male","Australia",6,"65+","Strongly agree"
"313","week 24","1",39,"Female","Australia",3,"35-44","Strongly agree"
"314","week 24","4",76,"Male","Australia",6,"65+","Somewhat disagree"
"315","week 24","1",69,"Male","Australia",6,"65+","Strongly agree"
"316","week 24","2",73,"Male","Australia",6,"65+","Somewhat agree"
"317","week 24","1",23,"Female","Australia",1,"18-24","Strongly agree"
"318","week 24","2",28,"Male","Australia",2,"25-34","Somewhat agree"
"319","week 24","2",62,"Female","Australia",5,"55-64","Somewhat agree"
"320","week 24","1",70,"Male","Australia",6,"65+","Strongly agree"
"321","week 24","1",78,"Female","Australia",6,"65+","Strongly agree"
"322","week 24","1",77,"Male","Australia",6,"65+","Strongly agree"
"323","week 24","5",62,"Female","Australia",5,"55-64","Strongly disagree"
"324","week 24","3",72,"Male","Australia",6,"65+","Neutral/no opinion"
"325","week 24","4",63,"Female","Australia",5,"55-64","Somewhat disagree"
"326","week 24","1",76,"Female","Australia",6,"65+","Strongly agree"
"327","week 24","4",46,"Female","Australia",4,"45-54","Somewhat disagree"
"328","week 24","1",75,"Male","Australia",6,"65+","Strongly agree"
"329","week 24","3",39,"Female","Australia",3,"35-44","Neutral/no opinion"
"330","week 24","2",59,"Female","Australia",5,"55-64","Somewhat agree"
"331","week 24","3",27,"Female","Australia",2,"25-34","Neutral/no opinion"
"332","week 24","1",74,"Female","Australia",6,"65+","Strongly agree"
"333","week 24","3",36,"Female","Australia",3,"35-44","Neutral/no opinion"
"334","week 24","1",82,"Male","Australia",6,"65+","Strongly agree"
"335","week 24","4",36,"Male","Australia",3,"35-44","Somewhat disagree"
"336","week 24","3",67,"Female","Australia",6,"65+","Neutral/no opinion"
"337","week 24","3",53,"Female","Australia",4,"45-54","Neutral/no opinion"
"338","week 24","3",37,"Female","Australia",3,"35-44","Neutral/no opinion"
"339","week 24","3",47,"Female","Australia",4,"45-54","Neutral/no opinion"
"340","week 24","5",63,"Female","Australia",5,"55-64","Strongly disagree"
"341","week 24","5",64,"Female","Australia",5,"55-64","Strongly disagree"
"342","week 24","5",55,"Female","Australia",5,"55-64","Strongly disagree"
"343","week 24","3",35,"Male","Australia",3,"35-44","Neutral/no opinion"
"344","week 24","1",53,"Female","Australia",4,"45-54","Strongly agree"
"345","week 24","1",66,"Male","Australia",6,"65+","Strongly agree"
"346","week 24","3",29,"Male","Australia",2,"25-34","Neutral/no opinion"
"347","week 24","3",40,"Female","Australia",3,"35-44","Neutral/no opinion"
"348","week 24","5",42,"Female","Australia",3,"35-44","Strongly disagree"
"349","week 24","1",73,"Male","Australia",6,"65+","Strongly agree"
"350","week 24","1",69,"Male","Australia",6,"65+","Strongly agree"
"351","week 24","5",45,"Female","Australia",4,"45-54","Strongly disagree"
"352","week 24","3",76,"Female","Australia",6,"65+","Neutral/no opinion"
"353","week 24","5",25,"Female","Australia",2,"25-34","Strongly disagree"
"354","week 24","4",26,"Female","Australia",2,"25-34","Somewhat disagree"
"355","week 24","1",75,"Male","Australia",6,"65+","Strongly agree"
"356","week 24","5",28,"Male","Australia",2,"25-34","Strongly disagree"
"357","week 24","1",67,"Male","Australia",6,"65+","Strongly agree"
"358","week 24","1",66,"Male","Australia",6,"65+","Strongly agree"
"359","week 24","1",74,"Female","Australia",6,"65+","Strongly agree"
"360","week 24","1",21,"Female","Australia",1,"18-24","Strongly agree"
"361","week 24","4",48,"Female","Australia",4,"45-54","Somewhat disagree"
"362","week 24","5",71,"Female","Australia",6,"65+","Strongly disagree"
"363","week 24","3",78,"Male","Australia",6,"65+","Neutral/no opinion"
"364","week 24","3",27,"Female","Australia",2,"25-34","Neutral/no opinion"
"365","week 24","3",73,"Female","Australia",6,"65+","Neutral/no opinion"
"366","week 24","1",76,"Female","Australia",6,"65+","Strongly agree"
"367","week 24","1",76,"Female","Australia",6,"65+","Strongly agree"
"368","week 24","1",31,"Male","Australia",2,"25-34","Strongly agree"
"369","week 24","2",41,"Male","Australia",3,"35-44","Somewhat agree"
"370","week 24","4",65,"Male","Australia",6,"65+","Somewhat disagree"
"371","week 24","5",69,"Male","Australia",6,"65+","Strongly disagree"
"372","week 24","1",65,"Female","Australia",6,"65+","Strongly agree"
"373","week 24","1",84,"Male","Australia",6,"65+","Strongly agree"
"374","week 24","2",77,"Male","Australia",6,"65+","Somewhat agree"
"375","week 24","5",41,"Female","Australia",3,"35-44","Strongly disagree"
"376","week 24","5",43,"Female","Australia",3,"35-44","Strongly disagree"
"377","week 24","4",81,"Female","Australia",6,"65+","Somewhat disagree"
"378","week 24","3",79,"Female","Australia",6,"65+","Neutral/no opinion"
"379","week 24","3",34,"Male","Australia",2,"25-34","Neutral/no opinion"
"380","week 24","1",77,"Male","Australia",6,"65+","Strongly agree"
"381","week 24","3",48,"Female","Australia",4,"45-54","Neutral/no opinion"
"382","week 24","1",59,"Female","Australia",5,"55-64","Strongly agree"
"383","week 24","4",41,"Female","Australia",3,"35-44","Somewhat disagree"
"384","week 24","4",40,"Female","Australia",3,"35-44","Somewhat disagree"
"385","week 24","3",22,"Female","Australia",1,"18-24","Neutral/no opinion"
"386","week 24","1",74,"Male","Australia",6,"65+","Strongly agree"
"387","week 24","4",50,"Female","Australia",4,"45-54","Somewhat disagree"
"388","week 24","5",21,"Female","Australia",1,"18-24","Strongly disagree"
"389","week 24","5",44,"Female","Australia",3,"35-44","Strongly disagree"
"390","week 24","2",77,"Female","Australia",6,"65+","Somewhat agree"
"391","week 24","1",50,"Female","Australia",4,"45-54","Strongly agree"
"392","week 24","3",40,"Female","Australia",3,"35-44","Neutral/no opinion"
"393","week 24","3",79,"Male","Australia",6,"65+","Neutral/no opinion"
"394","week 24","1",71,"Male","Australia",6,"65+","Strongly agree"
"395","week 24","1",78,"Male","Australia",6,"65+","Strongly agree"
"396","week 24","1",39,"Female","Australia",3,"35-44","Strongly agree"
"397","week 24","1",78,"Male","Australia",6,"65+","Strongly agree"
"398","week 24","4",43,"Female","Australia",3,"35-44","Somewhat disagree"
"399","week 24","1",65,"Male","Australia",6,"65+","Strongly agree"
